               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.034349,            0.041023,            0.013574,             0.89639,             0.82038,             0.91165,             0.70377,            0.024234,            0.017156,           0.0040385,           0.0089501,           0.0089501,           0.0089501
                 120,            0.033884,            0.039765,            0.013799,               0.901,             0.81811,             0.91219,             0.70379,            0.024222,            0.017135,           0.0040127,            0.008933,            0.008933,            0.008933
                 121,            0.034074,            0.040575,            0.013874,             0.91452,             0.81224,             0.91362,             0.70534,            0.024175,             0.01713,           0.0039539,           0.0089159,           0.0089159,           0.0089159
                 122,            0.033729,            0.041377,            0.012827,             0.90368,             0.82151,             0.91452,             0.70757,            0.024104,            0.017059,           0.0039187,           0.0088986,           0.0088986,           0.0088986
                 123,            0.033581,            0.040103,             0.01325,             0.91031,              0.8188,             0.91557,             0.70829,            0.024038,            0.017029,           0.0038947,           0.0088812,           0.0088812,           0.0088812
                 124,            0.033792,            0.040841,            0.012978,             0.89969,             0.83061,             0.91681,             0.71009,            0.023975,            0.016952,           0.0038361,           0.0088637,           0.0088637,           0.0088637
                 125,            0.033591,            0.040131,            0.013457,              0.9054,             0.82566,             0.91661,             0.71085,            0.023929,            0.016934,           0.0038206,           0.0088461,           0.0088461,           0.0088461
                 126,            0.033601,            0.041805,            0.013202,             0.90809,             0.82406,             0.91762,             0.71307,            0.023854,            0.016873,           0.0037917,           0.0088284,           0.0088284,           0.0088284
                 127,            0.033256,             0.04152,            0.013188,             0.90665,             0.82789,             0.91901,             0.71419,            0.023772,            0.016825,           0.0037459,           0.0088106,           0.0088106,           0.0088106
                 128,            0.033739,            0.041834,             0.01332,             0.91286,             0.82591,             0.92029,             0.71623,              0.0237,            0.016782,           0.0037076,           0.0087927,           0.0087927,           0.0087927
                 129,            0.033138,            0.039515,            0.013096,             0.93043,             0.81511,             0.92104,              0.7173,            0.023624,            0.016709,           0.0036778,           0.0087746,           0.0087746,           0.0087746
                 130,            0.033579,            0.040768,            0.013057,             0.91848,             0.82593,             0.92208,             0.71779,            0.023545,            0.016663,           0.0036451,           0.0087565,           0.0087565,           0.0087565
                 131,            0.033376,            0.040733,            0.012513,              0.9221,              0.8224,             0.92218,             0.71939,            0.023493,            0.016619,           0.0036144,           0.0087382,           0.0087382,           0.0087382
                 132,            0.032852,            0.040783,            0.012592,             0.91636,             0.82956,             0.92279,             0.72095,            0.023417,            0.016567,           0.0035885,           0.0087198,           0.0087198,           0.0087198
                 133,            0.032904,            0.041124,            0.012465,             0.90242,             0.84372,             0.92449,             0.72277,            0.023338,            0.016503,           0.0035507,           0.0087013,           0.0087013,           0.0087013
                 134,            0.033074,            0.039289,            0.012149,              0.9114,             0.84023,             0.92551,             0.72532,            0.023269,            0.016434,           0.0035237,           0.0086827,           0.0086827,           0.0086827
